Wort,Ru
opfer,жертва {ж}
europas,
euro,"евро {м} [нескл.] <eur, €> / евровалюта {ж}"
schweiz,швейцария {ж}
griechenland,греция {ж}
einheitliche,
osterweiterung,расширение {с} на восток
zusammenschluss,объединение {с}
europaischen,
diesem,
frieden,мир {м} [мирное состояние]
wirtschaftsgemeinschaft,
ewg,
luxemburg,люксембург {м}
elterngeld,
antrag,предложение {с} [также выйти замуж] / заявление {с}
elterngeldstelle,
erlaubnis,разрешение {с}
kindergarten,детсад {м} [разг.] / детский сад {м}
erziehungsberechtigten,
maik,
sybille,
neuen,
anne,
tim,
mutterschutz,охрана {ж} материнства
ausgebildet,
gleichen,походить [несов.] [иметь сходство]
partner,супруг {м} / компаньон {м} [член торговой или промышленной компании] / партнёр {м} / партнёры {мн}
partnerin,супруга {ж} / партнёрша {ж} [разг.]
wieder,внове [разг.] [опять] / вновь / опять / снова [опять]
lassen,переставать [несов.] / перестать [сов.] / позволять [несов.] / оставить [сов.] / оставлять [несов.]
eigenes,
danach,впоследствии / затем
gesundheitsamt,
restaurant,ресторан {м} / ресторация {ж} [устр.]
genehmigung,"согласие {с} [позволение, разрешение] / санкция {ж} [разрешение] / одобрение {с} / разрешение {с} [особ. офиц.] / утверждение {с} [санкционирование]"
abitur,экзамен {м} на аттестат зрелости / аттестат {м} зрелости
nachholen,догонять [несов.]
hochschule,высшее учебное заведение {с} <вуз>
hauptschule,общеобразовательная школа {ж} [для наиболее слабых учеников; с упрощённой программой обучения]
besucht,посещённый
geschlagen,
hungern,голодать [несов.] / голодовать [несов.] [разг.] / изголодаться [сов.] / сидеть на голодном пайке [разг.] [голодать]
nehmen,брать [несов.] / взять [сов.]
hilft,
lehrstellensuche,
anspruch,взыскательность {ж} / притязание {с}
anwesenheitspflicht,обязательное присутствие {с} [напр. при разбирательстве в суде]
z,
b,
wegen,за [+akk.] [по причине] / насчёт [+gen.] [разг.] / вследствие [+gen.] / из-за [+gen.] / ради [+gen.]
behinderung,помеха {ж} [препятствие] / препятствование {с} / инвалидность {ж}
behandelt,обработанный
bunte,
masken,
rosenmontag,[предпоследний день карнавала]
junge,парень {м} [разг.] / мальчик {м} / мальчишка {м} [разг.] / пацан {м} [разг.] / хлопец {м} [разг.] [мальчик]
freund,"друг {м} / друган {м} [разг.] / дружище {м} [разг.] / дружок {м} [разг.] [уменьш.] / кореш {м} [разг.] / приятель {м} / товарищ {м} [приятель, друг] / френд {м} [разг.]"
entscheidung,решение {c}
respektieren,уважать [несов.]
theorie,теория {ж}
vielleicht,авось [разг.] / возможно / может быть / наверно / наверное / пожалуй [может быть] / что ли / ль [разг.]
muttersprache,родной язык {м}
sprachen,
auswahl,подборка {ж} / выбор {м} [товаров и т. п.] / облюбовывание {с}
weiterbildung,переподготовка {ж} / повышение {с} квалификации
weihnachten,
kindergartenplatz,
briefgeheimnis,тайна {ж} корреспонденции
einwilligung,"согласие {с} [позволение, разрешение]"
anwalts,
behorde,
beschweren,отяготить [сов.] [тж. перен.] / отягощать [несов.] [тж. перен.] / тяготить [несов.]
bewirbt,
erfahrungen,
mutter,гайка {ж} / мамаша {ж} [разг.] / матерь {ж} [устр.] [возв.] / матка {ж} [разг.] [мать] / матушка {ж} [мать] / мать {ж} / родительница {ж} [разг.]
buchalter,
beworben,
erfahrung,опыт {м}
hausordnung,правила {мн} внутреннего распорядка
bewohner,житель {м} / обитатель {м}
bewohnerinnen,
bescheid,ответ {м} / информация {ж}
einspruch,вето {с} [нескл.] / возражение {с} / отпор {м} / протест {м}
einlegen,консервировать [несов.] / засолка {ж} [разг.] / мариновать [несов.]
hautfarbe,цвет {м} кожи
lege,
widerspruch,разлад {м} / противоречие {с}
ausbildung,образование {с} / обучение {с} [профессиональное]
alles,всё
wichtig,важно / важный / знаменательный / значимый / насущно
umsatzsteuer,налог {м} с оборота <нсо>
kommune,община {ж} / коммуна {ж}
haut,кожа {ж} / кожура {ж}
reklamieren,
kirchensteuer,церковный налог {м}
einkommen,доход {м} / заработок {м} [доход]
gott,бог {м}
bemalen,раскрасить [сов.] / раскрашивать [несов.]
christentum,христианство {с}
adventszeit,предрождественское время {с} [начинается с четвёртого воскресенья до рождества]
landeszentrale,
geschichtsunterricht,урок {м} истории
politikunterricht,
sprachunterricht,занятия {мн} по языку / преподавание {с} языка / преподавание {с} языков / урок {м} языка
befolgen,
faustrecht,
annehmen,допускать [несов.] [предполагать] / предполагать [несов.] / предположить [сов.] / принимать [несов.] / принять [сов.]
kandidaten,
bestimmte,
kandidatin,кандидатка {ж}
nie,отроду [разг.] / отродясь [разг.] / никогда
weder,
beeinflusst,
gezwungen,"вынужденный / натянутый [о тоне, манерах]"
nachteile,
wahlberechtigten,
volksgesetz,
bundesgesetz,федеральный закон {м}
glaubens,
gewissensfreiheit,свобода {ж} совести
unterhaltung,беседа {ж} / собеседование {с} / развлечение {с}
unantastbar,неприкосновенный
sollen,быть должным
mensch,человек {м}
vereinbar,совместимый
folter,пытка {ж} [тж. перен.] / истязание {с}
todesstrafe,вышка {ж} [устр.] [разг.] [высшая мера наказания в виде смертной казни] / смертная казнь {ж}
geldstrafe,денежный штраф {м}
bundesverfassung,
gesetzbuch,
verfassungsvertrag,
drittel,треть {ж}
abgeschafft,
regierenden,
erreichen,добиваться [несов.] / добиться [сов.] / достижение {с} / достигать [несов.] / достичь [сов.]
konnten,
regierungsparteien,
tatsachen,
behaupten,отстаивать [несов.] [удерживать за собой] / утверждать [несов.] [высказывать мнение]
leserbriefen,
symbole,
solange,пока / покамест [разг.] / покуда [разг.] [пока]
widerspreche,
verbeitet,
zwangsarbeit,каторга {ж} [вид наказания] / каторжные работы {мн} / принудительный труд {м}
berufswahl,выбор {м} профессии
verbreitung,распространение {с} / распространённость {ж}
behauptungen,
einzelne,
diskussionen,
religionen,
petitionen,
ungleichbehandlung,неравное обращение {с}
artikel,статья {ж} <ст.> / предмет {м} [торговли] / артикль {м} / товар {м}
unantastbarkeit,неприкосновенность {ж}
versteht,
unter,при [+prep.] [во время] / валет {м} / под [+instr.] / среди [+gen.]
selbst,даже / сам / сами
aussuchen,приискание {с} [разг.] / выбирать [несов.] / выбрать [сов.] / избрать [сов.] / облюбовать [сов.] / облюбовывать [несов.] / подбирать [несов.] [выбирать]
leicht,слегка [немножко] / нетрудный / легко / лёгкий
bekleidet,
bewegen,двигать [несов.] / двинуть [сов.] / шевельнуть [сов.]
verfolgt,репрессированный
errichten,поставить [сов.] [построить] / построить [сов.] [соорудить] / возвести [сов.] / возводить [несов.] / воздвигать [несов.] [памятник и т.п.] / воздвигнуть [сов.] [памятник и т. п.] / соорудить [сов.] / сооружать [несов.] / учреждать [несов.]
rechtsstaatlich,относящийся к правовому государству
orientiert,ориентированный
gesetzestreu,законопослушный
verfassungswidrig,антиконституционный / неконституционный / противоречащий конституции
staatsform,форма {ж} государства
familienunternehmen,семейное предприятие {с}
kommunistische,
kapitalistische,
verwaltung,администрация {ж} / управление {с}
tier,животное {с} / зверь {м}
wppentier,
pferd,конь {м} / лошадь {ж}
merkmal,критерий {м} [признак] / показатель {м} / признак {м} / примета {ж} [отличительный признак]
unserer,
zue,
rechtsprechung,юрисдикция {ж}
aussage,высказывание {с} / показание {с} / свидетельство {с} [показание]
sozialstaat,социальное государство {с}
finanziert,
kirchensteuern,
schafft,
autoversicherung,
haftpflichtversicherung,страхование {с} ответственности [за причинение вреда]
federal,
state,
regierun,
worten,
signale,
einig,единодушный
vaterland,отечество {с} [возв.] / отчизна {ж} [возв.] / родина {ж}
bestechung,дача {ж} взятки / взятка {ж} [подкуп] / подкуп {м}
begrenzt,ограниченный
verhindern,предотвратить [сов.] / предотвращать [несов.]
wirtschaftlichen,
wettbewerb,конкурс {м} / соперничество {с} [соревнование] / соревнование {с} / состязание {с}
anzuregen,
neues,новь {ж} [новое]
teuer,"ненаглядный [разг.] [дорогой, любимый] / дорого / дорогой"
programm,программа {ж}
richtung,курс {м} [направление] / направление {с} / сторона {ж} [направление]
direkt,"напрямую [разг.] [тж. перен.] / прямиком [разг.] [тж. перен.] / прямолинейный [перен.] [откровенный, прямой] / прямо-таки [разг.] / очно / прямой [непосредственный, без промежуточных инстанций]"
landtagsabgeordnete,депутат {м} ландтага [женщина]
bundestagsabgeordnete,депутат {м} бундестага [женщина]
versicherung,уверение {с} / страхование {с} / страховка {ж} [разг.]
unfallversicherung,страхование {с} от несчастного случая
hausratversicherung,страхование {с} домашнего имущества
haftpflicht,
feuerversicherung,
verkauft,
lebensmittel,пищевой продукт {м} / съестные припасы {мн} / пищевые продукты {мн} / продовольствие {с} / продукты {мн} питания
kleidung,одежда {ж} / платье {с} [одежда вообще] / туалет {м}
kostenlos,безвозмездно / безвозмездный / бесплатно / бесплатный / забесплатно [разг.]
zeitungen,
produziert,
autos,
busse,
zahlt,
museen,
organ,о́рган {м}
verfassungsorganen,
schulpolitik,школьная политика {ж}
lehrerinnen,
familienministerium,
wirtschaftsform,
gelenkte,
kritisch,кризисный / критически / критический
friedlich,безмятежный [мирный] / мирно / мирный
verbrechen,натворить [разг.] [сов.] / криминал {м} [разг.] [преступление] / преступление {с}
begeht,
rechstaat,
rechte,
zeigt,
dieses,это
bild,"образ {м} [то, что представляется, отображается] / изображение {с} [зрительный образ] / картина {ж} / рисунок {м} / снимок {м}"
bundestagssitz,
gemeindeverwaltung,
gewahlt,
ernennt,
ministerinen,
ssw,
gehoren,
herrscht,
kommunalwahl,коммунальные выборы {мн}
exekutiv,
ministerien,
gegliedert,
besatzungszonen,
oststaat,
weststaat,
entwerfen,"намечать [несов.] [разрабатывать предварительно, в общих чертах] / наметить [сов.] [набросать] / проектировать [составлять проект] [несов.]"
kontrollieren,контролировать [несов.]
schrieb,
text,текст {м}
friedrich,
schiller,
johann,иван {м}
wolfgang,
goethe,
verteidigungspolitik,политика {ж} обороны
wirtschaftspolitik,экономическая политика {ж}
schulwesen,школьное дело {с}
dreistufigen,
verwaltungsaufbau,
unterste,
stufte,
gustav,
heinemann,
schmidt,
ernennungsurkunde,верительная грамота {ж}
meseberg,
bellevue,
amtssitz,
jetzige,
wowereit,
beiden,
fraktionen,
zurzeit,в настоящее время
ganz,всецело / весь / совершенно / совсем / целый / целёхонький [разг.] [целый]
bundesgerichtshof,федеральный верховный суд {м}
heutiges,
christliche,
club,клуб {м} [учреждение]
unternehmer,антрепренёр {м} / предприниматель {м}
umweltschutz,защита {ж} окружающей среды / охрана {ж} окружающей среды
bundeswehr,бундесвер {м} [вооружённые силы фрг]
hafen,гавань {ж} / порт {м}
sozialistische,
sozialpolitische,
sozialgerechte,
friedliche,
demonstrative,
auslegung,истолкование {с} / выкладка {ж} [для просмотра] / толкование {с}
oberlandesgericht,высший земельный суд {м}
verwaltungsgericht,административный суд {м}
leitet,
regiert,
entwirft,
bildet,
parteimitglieder,
parlamentarische,
bundesminister,федеральный министр {м}
bundesministerin,федеральный министр {м} [женщина]
vereinigung,ассоциация {ж} / объединение {с} / сочетание {с} [соединение]
wirken,"творчество {с} / действовать [несов.] [оказывать влияние, действие] / подействовать [сов.] [воздействовать]"
bundes,
regierungswechsel,смена {ж} правительства
auswirkungen,
bundespolitik,
reiches,
handelt,
sichere,
unternehmerverband,союз {м} предпринимателей
je,когда-либо <когда-л.> / когда-нибудь
desto,
weniger,менее / меньше
direktkandidaten,
ziehen,сквозить [несов.] [о ветре] / вырывать [несов.] [зуб] / волочение {с} / тянуть [несов.]
risiko,риск {м}
koalition,коалиция {ж}
wahlpflicht,обязанность {ж} участия в выборах
religionspflicht,
besitzen,владеть [несов.] / иметь [несов.] [обладать] / обладать [несов.]
reisepass,заграничный паспорт {м}
sozialversicherungsausweis,карточка {ж} социального страхования
wohngeld,
sitzungen,
zuvor,сначала [перед этим]
sozialversicherungen,
gesetzlichen,
rentenversicherung,пенсионное страхование {с}
jugendlichen,
geehrt,уважаемый
politischen,
wirtschaftlichem,
kulturellem,
geistigem,
sozialem,
besondere,особый
leistung,достижение {с} / мощность {ж} / производительность {ж}
erbracht,
verdienstorden,
ehrentitel,почётное звание {с}
held,герой {м}
ampelkoalition,«светофорная» коалиция {ж}
of,
and,
one,
government,
entlassung,увольнение {с} / отчисление {с} [со службы]
krank,больной
kam,
erledigt,
private,
sachen,вещи {мн}
wahlkabine,кабинка {ж} для голосования
wahlbenachrichtigungen,
medien,мидия {ж} / средства {мн} массовой информации <сми>
wahlhelfer,
karten,
briefe,пи́сьма {мн}
angabe,указание {с} [ссылка]
wahllokals,
journalisten,
wohnt,
bundestagswahlen,
sechs,шестёрка {ж} / шесть
verheiratete,
festen,
speziell,специально / специальный
berufsbezogen,профессионально ориентированный
gewinnt,
mehrheitlich,большей частью / в большинстве случаев
arbeitern,
arbeiterinnen,
kanzlerkandidaten,
kanzlerkandidatin,кандидатка {ж} на пост канцлера
teilzunehmen,
pflicht,обязанность {ж}
last,бремя {с} [тж. перен.] / груз {м} [тж. перен.] / ноша {ж} / нагрузка {ж} / тягость {ж} / обуза {ж} [разг.]
bundestagwahl,
durfen,
heisst,
aktive,
wahlkampagne,
wahlverfahren,
aktiver,
prozent,процент {м} [сотая часть]
regelt,
verurteilten,
wahlsystem,избирательная система {ж}
zensuswahlrecht,
dreiklassenwahlrecht,трёхклассное избирательное право {с}
allgemeines,
zulassungsgrenze,
richtlinie,директива {ж}
unterliegen,подчиняться [несов.] [подвергаться]
geschlossen,закрыто / закрытый
abstimmungsregelung,
bundeskanzlers,
funktion,должность {ж} / действие {с} / функционал {м} / функция {ж}
zwingen,заставить [принудить] [сов.] / заставлять [принуждать] [несов.] / неволить [несов.] [устр.] [разг.] / принудить [сов.] / принуждать [несов.]
abzugeben,
bestehende,
beizubehalten,
armen,
wahlerlaubnis,
wahlgesetz,
programme,
gemeinsamkeiten,
orientierung,ориентация {ж}
so,таким образом / эдак [разг.] [таким образом] / этак [разг.] [таким образом] / столь [книжн.] / так
politikerinnen,
parlamentsmitglieder,
botschafter,посол {м}
botschafterinnen,
leiter,стремянка {ж} / лестница {ж} [с перекладинами] / заведующий {м} / начальник {м} / проводник {м} / руководитель {м}
leiterin,заведующая {ж}
bank,(песчаная) мель {ж} / лавка {ж} [скамья] / скамейка {ж} / скамья {ж} / банк {м}
vorsitzende,председательница {ж}
krankenhaus,больница {ж} / стационар {м}
verdienen,зарабатывание {с} / зарабатывать [несов.] / заработать [сов.]
dabei,к тому же / при этом
bundestags,
landtagswahlen,выборы {мн} в ландтаг
ehemann,муж {м} / супруг {м}
wahltag,день {м} выборов / день {м} голосования
telefonisch,по телефону / телефонный
fahren,"возить [несов.] / кататься [несов.] [на лодке, машине, лыжах, велосипеде и др.] / прокатиться [сов.] [обычно для развлечения] / водить [несов.] [автомобиль, мотоцикл] / отправиться [сов.] [поехать] / езда {ж} / ездить [несов.] / ехать [несов.] / нагонять [сов.] [разг.] [проехать] / поехать [сов.]"
werde,
trainiere,
radfahren,ездить на велосипеде / кататься на велосипеде / езда {ж} на велосипеде
steuerzahler,налогоплательщик {м}
steuerzahlerin,налогоплательщица {ж}
habe,
schreibe,письменный язык {м}
forstamt,лесничество {с}
arbeigerichts,
nebenkostenabrechnung,
nachbarinnen,
schwierigkeiten,проблемы {мн} / сложности {мн}
verkehrsunfall,дорожно-транспортное происшествие {с} <дтп> / транспортная авария {ж}
konflikten,
arbeitswelt,мир {м} труда
zustandig,
familiengericht,семейный суд {м}
strafgericht,
unrecht,неправота {ж} / несправедливость {ж}
gekundigt,
freundlich,"радушный / дружелюбно / дружелюбный / ласково [приветливо] / ласковый [приветливый] / любезно / любезный [предупредительный, учтивый] / приветливый / радушно"
mahnverfahren,
prozess,(судебный) процесс {м} / процесс {м} / суд {м} [судебное разбирательство]
auto,автомашина {ж} / автомобиль {м} / машина {ж} [разг.] [автомобиль]
falsch,притворный / липовый [разг.] [ложный] / ложно / ложный / неверно / неправильно / фальшиво / фальшивый
geparkt,
abgeschleppt,
rechtlichen,
rat,совет {м}
stellt,
urkunden,
verteidigt,
angeklagten,
angeklagte,обвиняемая {ж} [преданная суду] / подсудимая {ж}
berat,
rechtsfragen,
vertrit,
staatsanwalt,прокурор {м}
betreut,
vollziehenden,
planenden,
gesetzgebenden,
verfahren,дело {с} / метод {м} / процесс {м} / способ {м}
erstellen,создавать [несов.] / создать [сов.]
erlassen,
verteidigen,защищать [несов.] / оборонить [сов.] [устр.] / оборонять [несов.]
geborenen,
abgeschlossenen,
jurastudium,изучение {с} права
stellvertreter,зам {м} [разг.] [заместитель] / заместитель {м} / исполняющий {м} обязанности
stellvertreterin,заместительница {ж} [разг.]
stadtoberhaupts,
gemeinderats,
jura,юра {ж} [горы] / юра {ж} / юриспруденция {ж} / право {с} [учебный предмет]
studiert,
mauerbaus,
nationalzialisten,
reichskanzler,рейхсканцлер {м}
errichteten,
verhaftungen,
verfolgung,гонение {с} / преследование {с}
krieg,брань {ж} [возв.] [устр.] [война] / война {ж}
dauerte,
vietnamkrieg,война {ж} во вьетнаме
golfkrieg,
kennzeichnete,
ns,
allgemeinen,
entwicklung,уклон {м} / развитие {с}
claus,
schenk,
stauffenberg,
bekannt,знакомый / известный
goldmedaille,золотая медаль {ж}
olympischen,
spielen,играть [несов.] / играться [несов.] [разг.] [играть] / сыграть [сов.]
bau,"постройка {ж} [строительство] / здание {с} / постройка {ж} [здание] / каталажка {ж} [разг.] [презр.] [тюрьма] / кутузка {ж} [разг.] / нора {ж} [барсука, бобра, лисицы, кролика, гадюки] / норка {ж} [уменьш.] [нора] / строительство {с} / стройка {м}"
aufbau,налаживание {с} / конструкция {ж} / построение {с} / строение {с}
wehrmacht,вермахт {м}
passierte,
november,ноябрь {м}
angriff,посягательство {с} / агрессия {ж} [нападение] / атака {ж} / нападение {с}
reichstag,рейхстаг {м}
reifen,поспевать [несов.] [созревать] / поспеть [сов.] [созреть] / спеть [несов.] [о плодах] / шина {ж} / покрышка {ж} / зреть [созревать] [несов.] / назревать [несов.] / назреть [сов.]
wir,мы
arbeiteraufstand,
anti,
atomkraft,атомная энергия {ж} / ядерная энергия {ж}
weltkreig,
allierte,
besatzungmachte,
italien,италия {ж}
japan,япония {ж}
spanien,испания {ж}
portugal,португалия {ж}
alliierte,союзница {ж}
besatzungsmacht,оккупационная держава {ж} / оккупирующая держава {ж}
freien,сватовство {с}
entfaltung,развёртывание {с} / развитие {с}
steuert,
allein,лишь [только] / один [только] / в одиночку / одинокий
geplant,запланированный
gesteuert,управляемый
britischen,
vereinten,
nationen,
vn,
gegrundet,
zweitte,
besatzungszonen,
verteilt,распределённый
sektoren,
augeteilt,
burgerinen,
luftbruke,
umstadt,
dafur,
hatten,
landtransport,
schneller,быстрее
endete,
tod,"гибель {ж} [смерть] / капут {м} [разг.] [гибель, смерть] / кончина {ж} [возв.] / смерть {ж}"
hitlers,
besetzten,
gebieten,велеть [сов./несов.] [приказать/приказывать]
revolution,революция {ж}
wollte,
willy,
brandt,
seinem,
kniefall,коленопреклонение {с} [возв.]
chemaligen,
judischen,
ghetto,гетто {с} [нескл.]
warschau,варшава {ж}
ausdruken,
ehemaligen,
unterworfen,подвергнутый / покорённый
zeigte,
demut,покорность {ж} [смирение] / смирение {с}
sprach,
gebet,молитва {ж}
grab,могила {ж} / погребение {с} [могила]
unbekannten,
zwangsweise,принудительным образом
vereint,
einheitspartei,
spataren,
wirtschaftswunder,экономическое чудо {с}
nannten,
null,ноль {м}
sommerzeit,летняя пора́ {ж} / летнее время {с}
winterzeit,зимняя пора́ {ж} / зимнее время {с}
umgestellt,
stand,по состоянию на [дату] / сословие {с} / стойло {с} / ларёк {м} / стенд {м} [на выставке] / счёт {м} [в незаконченной игре]
ausdruck,распечатанный документ {м} / печатание {с} / выражение {с}
eiserner,
vorhang,занавеска {ж} / занавес {м} / занавесь {ж} / кулиса {ж}
abschottung,изоляция {ж} [разобщённость]
aufstand,бунт {м} / восстание {с} / мятеж {м}
erinnerte,
hatte,
goldene,
ahrenkranz,
drittes,
dritter,третий
rundfunk,радио {с} [нескл.] / радиовещание {с}
erreichbar,достижимый / доступный / досягаемый
oktober,октябрь {м}
feiert,
saxony,
herbst,осень {ж}
veranderte,
politisch,политически / политический
liberalen,
sozialismus,социализм {м}
kommunistischen,
meinte,
regierende,
volksbildung,народное образование {с}
folgenden,
auflistungen,
fruheren,
gehorten,
rheinland,
pfalz,пфальц {м} / пфальц {м}
niedersachen,
wem,кому
kalten,
kreig,
blockfreien,
wirtschaftssystem,экономическая система {ж}
westlichen,
neun,девятка {ж} / девять
nun,ну / ныне [возв.] [теперь] / теперь
opec,
verteidigungsgemeinschaft,
wort,слово {с}
montagsdemonstration,
monat,
trafen,
demonstranten,
demonstrierte,
rheinbund,рейнский союз {м}
dritten,
wappen,герб {м}
staatswappen,государственный герб {м}
besteht,
gelben,
goldenen,
gelber,
farbe,"окрас {м} / карточная масть {ж} / краска {ж} / цвет {м} [окраска, окрас]"
ereignete,
feierliche,
parteitag,партийный съезд {м} / партсъезд {м}
besuch,"посещение {с} / свидание {с} [в больнице, тюрьме и т. п.] / визит {м}"
fidel,весёлый / фидель {м}
castros,
michail,
gorbatschow,
vollem,
namen,
bundesbezirk,
symbol,символ {м}
plenarsaal,пленарный зал {м}
sehen,видеть [несов.] / зреть [видеть] [книжн.] [несов.] / смотреть [несов.] / увидеть [сов.] / узреть [устр.] [книжн.] [сов.] [увидеть]
fahne,перегар {м} [разг.] [запах спиртного] / спиртной дух {м} [исходящий от кого-л.] / знамя {с} / флаг {м}
reichsadler,
reichskrone,имперская корона {ж}
zeitraum,время {с} [период] / период {м} (времени) / промежуток {м} (времени)
hinzu,
grenzen,
januar,январь {м}
offizieller,
woran,
erinnert,
verabschiedung,
schengener,
abkommens,
personenkontrolle,проверка {ж} личных документов
einreisen,въезд {м} [в страну] / въезжать [несов.] [в страну] / въехать [сов.] [в страну]
jedem,
allgemein,общий
gemeinschaft,сообщество {с}
namlich,
integration,интеграция {ж}
amerikanische,
einwanderer,иммигрант {м} / переселенец {м} [иммигрант]
einwanderungsstopp,
auswanderer,переселенец {м} [эмигрант]
kommission,комиссия {ж}
eintreten,"вступать [в организацию] [несов.] / вступить [в организацию] [сов.] / зайти [сов.] [войти] / заходить [несов.] [входить] / воцариться [сов.] [книжн.] [перен.] [о тишине, молчании и т.п.] / случаться [несов.] / войти [сов.] / входить [несов.]"
sitz,"кресло {с} [сиденье] / сидение {с} [предмет, на котором сидят] / сиденье {с}"
francois,
mitterrand,
gedenken,намереваться [несов.]
verdun,
gemeinsam,коллективный / вместе / заодно [сообща] / общий / совместно / совместный / сообща
toten,
beider,
weltkriege,
treffen,видеть [несов.] [встречать] / встречать [несов.] / постигать [несов.] [о горе и т. п.] / постигнуть [сов.] [о горе и т. п.] / постичь [сов.] [о горе и т. п.] / свидание {с} / встреча {ж}
deutlich,отчётливо / отчётливый / раздельный [о речи и т.п.] / членораздельный / чёткий / явный
freundschaft,дружба {ж}
zwischen,меж [+akk.] [устр.] [книжн.] / между [+instr.] / промеж [+gen.] [(реже) +instr.] [устр.] [разг.] [между]
england,англия {ж}
reisefreiheit,
feiertage,
mitgliedstaaten,
gefeiert,
inhalt,контент {м} [книжн.] / содержание {с}
vertrage,
verpflichtung,долг {м} [обязанность] / обязанность {ж} [долг] / обязательство {с}
reparationsleistungen,
festlegung,определение {с} [установление] / установление {с}
linie,линия {ж} / черта {ж} [линия]
ostgrenze,
orten,определять местонахождение / лоцировать [несов.]
europaische,
paris,парис {м} / париж {м}
london,лондон {м}
haag,
rom,рим {м}
bern,берн {м}
wien,вена {ж}
mailand,милан {м}
wirtschaftgemeinschaft,
hamburger,гамбургский / гамбуржец {м} / гамбургер {м}
pariser,парижский / парижанин {м} / презерватив {м}
londoner,лондонский / лондонец {м}
bar,бар {м} [маленький ресторан]
seger,
krankenkasse,страховая медицинская организация {ж}
arbeitsamt,биржа {ж} труда
bitten,запрашивать [несов.] / попросить [сов.] / просить [несов.]
freunden,
strase,
abhalten,удерживать [от чего-л.] [несов.]
vorher,заранее / предварительно [заранее] / прежде
jederzeit,в любое время / в любой момент / во всякое время / всегда / когда угодно
gar,
verein,общество {с} [организация] / объединение {с} [организация]
vereine,
studium,исследование {с} [действие] / изучение {с} / учение {с} [изучение] / учёба {ж} [в высшем или специализированном учебном заведении]
beginnen,приниматься [несов.] [+ инф] / приняться [сов.] [+ инф.] / наступить [сов.] [начаться] / начать [сов.] / начаться [сов.] / начинать [несов.] / начинаться [несов.]
diplom,диплом {м}
prokura,генеральная доверенность {ж} / прокура {ж}
paar,чета {ж} [устр.] / пара {ж}
zusammenleben,совместная жизнь {ж} / сожительствовать [несов.] [жить совместно]
hans,
marie,
tom,
sofie,
lisa,
schwanger,беременная
kurz,краткий / кратко / беглый [краткий] / непродолжительный / кратковременный / короткий / коротко / куцый [разг.] [короткий]
geburt,рождение {с}
besonders,в особенности / в частности [в особенности] / особенно / особо [особенно]
besuchtzt,
heist,
schutzt,
elternzeit,отпуск {м} по уходу за ребёнком
geburtsvorbereitung,
wochenbett,послеродовой период {м}
erziehung,воспитание {с}
kindererziehung,воспитание {с} детей
verwandten,
besten,
chancen,шансы {мн}
bezahlten,
katholisch,католический
niemanden,
mehrere,несколько
ehepartner,супруг {м}
ehepartnerinnen,
gleichzeitig,заодно [разг.] [одновременно] / одновременно / одновременный / попутно [в то же самое время]
gestorben,
umziehen,переезжать [несов.] / переехать [сов.] / сменить место жительства [книжн.] / сменять место жительства
gewerbeamt,ведомство {с} по вопросам предпринимательской деятельности
ehepaare,
scheiden,развести [сов.] [расторгнуть чей-л. брак] / разлучаться [несов.]
trennungsjahr,
eihalten,
scheidungsprozess,бракоразводный процесс {м}
dauert,
besuchsrecht,
erziehungsproblemen,
hilfe,выручка {ж} [разг.] [помощь] / подмога {ж} [разг.] [помощь] / подспорье {с} [помощь] / помощь {ж}
schulamt,
ehepaar,супруги {мн}
mochte,
eroffnen,
unbedingt,"абсолютный [о покое, об успехе и т. п.] / непременно / неукоснительно / обязательно"
einwohnermeldeamts,
berufsinformationszentrum,
biz,
bundesagentur,
rentenberechnung,исчисление {с} пенсии / пенсий
unbegrenzte,
wahlfreiheit,
schulgeld,плата {ж} за обучение
evening,
school,
benachteiligen,
ausreichende,
vorliegen,наличие {с}
klagen,
benachteiligten,
gruppen,
spenden,жертвовать [дарить] [несов.]
strafgestzte,
verstossen,
teilen,делиться [с кем.л] [несов.] / деление {с} / делить [несов.] / разделять [несов.]
maifeiertag,
oktoberfest,октоберфест {м} [народный праздник в мюнхене]
wohin,куда
zuerst,вначале / поначалу [разг.] / сначала / сперва [разг.]
agentur,"агентство {с} / агентура {ж} / о́рган {м} [учреждение, организация]"
nachtruhe,ночной отдых {м} / ночной покой {м}
sonne,солнце {с}
untergeht,
schlafen,давить щёку / подушку [шутл.] [спать] / спать [несов.]
mitternacht,полночь {ж} / полуночь {ж} [поэт.]
finden,найти [сов.] / находить [несов.] / обнаружить [сов.] [найти] / отыскать [сов.]
ihnen,вам
gefallt,
elterliche,
suchen,подыскать [сов.] / подыскивать [несов.] / приискать [сов.] [разг.] / приискивать [несов.] [разг.] / искание {с} / искать [несов.] / отыскивать [несов.] [искать]
prufung,
mutterspraches,
bevor,прежде чем
keinen,
sprache,язык {м} [речь] / манера {ж} говорить / речь {ж} [язык]
volkshochschule,(вечерние) общеобразовательные курсы {мн}
einrichtung,устройство {с} / убранство {с} [обстановка комнаты] / вправление {с} вывиха / меблировка {ж} [разг.] [собир.] / обстановка {ж} [меблировка] / учреждение {с}
zi,
verstecken,припрятывание {с} [разг.] / прятать [несов.] / спрятать [сов.]
verkleiden,маскировать [несов.]
lebensform,образ {м} жизни / жизненная форма {ж}
geschieden,разведённый
partnern,
alleinerziehender,
